Date : 2024-06-28 23:33:12
Directory : d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main
Total : 153 files,  8650 codes, 751 comments, 1936 blanks, all 11337 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        153 |      8,650 |        751 |      1,936 |     11,337 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                    |        153 |      8,650 |        751 |      1,936 |     11,337 |
| Scripts                                                                                                                                                              |        153 |      8,650 |        751 |      1,936 |     11,337 |
| Scripts (Files)                                                                                                                                                      |          1 |          6 |         12 |         18 |         36 |
| Scripts\Ability System                                                                                                                                               |         51 |      2,295 |        213 |        500 |      3,008 |
| Scripts\Ability System\Ability - System                                                                                                                              |         27 |      1,549 |        138 |        321 |      2,008 |
| Scripts\Ability System\Ability - System\Authoring                                                                                                                    |         16 |      1,104 |        125 |        227 |      1,456 |
| Scripts\Ability System\Ability - System\Authoring (Files)                                                                                                            |          6 |        397 |        123 |         92 |        612 |
| Scripts\Ability System\Ability - System\Authoring\Melee Ability                                                                                                      |          3 |        161 |          0 |         33 |        194 |
| Scripts\Ability System\Ability - System\Authoring\Range Ability                                                                                                      |          5 |        406 |          0 |         78 |        484 |
| Scripts\Ability System\Ability - System\Authoring\Spawn Ability                                                                                                      |          2 |        140 |          2 |         24 |        166 |
| Scripts\Ability System\Ability - System\Component                                                                                                                    |          1 |        216 |          2 |         38 |        256 |
| Scripts\Ability System\Ability - System\Event                                                                                                                        |          5 |        145 |          2 |         37 |        184 |
| Scripts\Ability System\Ability - System\ModifierMagnitude                                                                                                            |          5 |         84 |          9 |         19 |        112 |
| Scripts\Ability System\Attributes - System                                                                                                                           |         11 |        485 |         20 |        111 |        616 |
| Scripts\Ability System\Attributes - System (Files)                                                                                                                   |          6 |        263 |         18 |         58 |        339 |
| Scripts\Ability System\Attributes - System\Event                                                                                                                     |          5 |        222 |          2 |         53 |        277 |
| Scripts\Ability System\Effect - System                                                                                                                               |          9 |        184 |         44 |         49 |        277 |
| Scripts\Ability System\Equipment - System                                                                                                                            |          3 |         54 |          0 |         11 |         65 |
| Scripts\Ability System\Gameplay - Tags                                                                                                                               |          1 |         23 |         11 |          8 |         42 |
| Scripts\Character System                                                                                                                                             |         44 |      2,531 |        294 |        732 |      3,557 |
| Scripts\Character System\Config                                                                                                                                      |          4 |        109 |          5 |         33 |        147 |
| Scripts\Character System\Input System                                                                                                                                |          1 |        359 |         12 |         19 |        390 |
| Scripts\Character System\Models                                                                                                                                      |          7 |        622 |         50 |        175 |        847 |
| Scripts\Character System\Modules                                                                                                                                     |         32 |      1,441 |        227 |        505 |      2,173 |
| Scripts\Character System\Modules\Ai Animation Events Controller                                                                                                      |          4 |        102 |         30 |         40 |        172 |
| Scripts\Character System\Modules\Ai Animator Controller                                                                                                              |          5 |        261 |         26 |         96 |        383 |
| Scripts\Character System\Modules\Ai Motor Controller                                                                                                                 |          7 |        453 |         63 |        157 |        673 |
| Scripts\Character System\Modules\Ai Targeting Agent Controller                                                                                                       |          4 |        124 |         22 |         46 |        192 |
| Scripts\Character System\Modules\Ai Vision Controller                                                                                                                |          3 |        168 |         27 |         54 |        249 |
| Scripts\Character System\Modules\Ai Weapon Visual                                                                                                                    |          2 |         95 |         25 |         43 |        163 |
| Scripts\Character System\Modules\Shared                                                                                                                              |          7 |        238 |         34 |         69 |        341 |
| Scripts\Context System                                                                                                                                               |          1 |         71 |          4 |          8 |         83 |
| Scripts\Core                                                                                                                                                         |          9 |        720 |         69 |        119 |        908 |
| Scripts\Projectile System                                                                                                                                            |          4 |        230 |         40 |         67 |        337 |
| Scripts\UI System                                                                                                                                                    |         31 |      2,269 |         64 |        345 |      2,678 |
| Scripts\UI System (Files)                                                                                                                                            |          1 |        123 |         12 |         33 |        168 |
| Scripts\UI System\Auth                                                                                                                                               |          3 |        299 |         17 |         41 |        357 |
| Scripts\UI System\Currency                                                                                                                                           |          8 |        457 |          9 |         72 |        538 |
| Scripts\UI System\Equipment Store                                                                                                                                    |         10 |        744 |         10 |         97 |        851 |
| Scripts\UI System\Inventory                                                                                                                                          |          7 |        607 |         14 |         94 |        715 |
| Scripts\UI System\Stage Select                                                                                                                                       |          2 |         39 |          2 |          8 |         49 |
| Scripts\Weapon System                                                                                                                                                |         12 |        528 |         55 |        147 |        730 |
| Scripts\Weapon System (Files)                                                                                                                                        |          2 |         44 |          4 |          8 |         56 |
| Scripts\Weapon System\Weapon                                                                                                                                         |         10 |        484 |         51 |        139 |        674 |
| Scripts\Weapon System\Weapon (Files)                                                                                                                                 |          2 |         73 |          0 |         19 |         92 |
| Scripts\Weapon System\Weapon\Indicator                                                                                                                               |          3 |        181 |         27 |         56 |        264 |
| Scripts\Weapon System\Weapon\Melee Weapon                                                                                                                            |          1 |         58 |         12 |         17 |         87 |
| Scripts\Weapon System\Weapon\Ranged Weapon                                                                                                                           |          4 |        172 |         12 |         47 |        231 |
| Scripts\Weapon System\Weapon\Ranged Weapon (Files)                                                                                                                   |          2 |        134 |         12 |         41 |        187 |
| Scripts\Weapon System\Weapon\Ranged Weapon\Barrel                                                                                                                    |          2 |         38 |          0 |          6 |         44 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                             | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Authoring\AbilityTags.cs                                              | C#       |         16 |         24 |          9 |         49 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Authoring\AbstractAbilityScriptableObject.cs                          | C#       |         14 |         23 |          7 |         44 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Authoring\AbstractAbilitySpec.cs                                      | C#       |        149 |         36 |         35 |        220 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Authoring\HitAbilityScriptableObject.cs                               | C#       |        112 |          0 |         17 |        129 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Authoring\InitialiseStatsAbilityScriptableObject.cs                   | C#       |         58 |          1 |         12 |         71 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Authoring\Melee Ability\AbstractMeleeAttackAbilityScriptableObject.cs | C#       |         90 |          0 |         18 |        108 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Authoring\Melee Ability\CapsuleMeleeAttackAbilityScriptableObject.cs  | C#       |         40 |          0 |          9 |         49 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Authoring\Melee Ability\SphereMeleeAttackAbilityScriptableObject.cs   | C#       |         31 |          0 |          6 |         37 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Authoring\Range Ability\AbstractRangeCastAbilityScriptableObject.cs   | C#       |         86 |          0 |         18 |        104 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Authoring\Range Ability\CapsuleCastAbilityScriptableObject.cs         | C#       |         79 |          0 |         16 |         95 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Authoring\Range Ability\ConeCastAbilityScriptableObject.cs            | C#       |         83 |          0 |         14 |         97 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Authoring\Range Ability\SectorCastAbilityScriptableObject.cs          | C#       |         84 |          0 |         15 |         99 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Authoring\Range Ability\SphereCastAbilityScriptableObject.cs          | C#       |         74 |          0 |         15 |         89 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Authoring\SimpleAbilityScriptableObject.cs                            | C#       |         48 |         39 |         12 |         99 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Authoring\Spawn Ability\DeathSpawnAbilityScriptableObject.cs          | C#       |         12 |          2 |          5 |         19 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Authoring\Spawn Ability\ProjectileSpawnAbilityScriptableObject.cs     | C#       |        128 |          0 |         19 |        147 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Component\AbilitySystemController.cs                                  | C#       |        216 |          2 |         38 |        256 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Event\AbstractApplyGameplayEffectEventHandler.cs                      | C#       |          9 |          0 |          6 |         15 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Event\LogApplyGameplayEffectEventHandler.cs                           | C#       |         16 |          0 |          2 |         18 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Event\NotifyGameplayEffectEventHandler.cs                             | C#       |         20 |          0 |          3 |         23 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Event\PlayParticleGameplayEffectEventHandler.cs                       | C#       |         12 |          2 |          5 |         19 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\Event\ShowPopupGameplayEffectEventHandler.cs                          | C#       |         88 |          0 |         21 |        109 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\ModifierMagnitude\AttributeBackedModifierMagnitude.cs                 | C#       |         43 |          0 |         11 |         54 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\ModifierMagnitude\ECaptureAttributeFrom.cs                            | C#       |          7 |          0 |          1 |          8 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\ModifierMagnitude\ECaptureAttributeWhen.cs                            | C#       |          7 |          0 |          1 |          8 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\ModifierMagnitude\ModifierMagnitudeScriptableObject.cs                | C#       |          9 |          9 |          3 |         21 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Ability - System\ModifierMagnitude\SimpleFloatModifierMagnitude.cs                     | C#       |         18 |          0 |          3 |         21 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Attributes - System\AttributeScriptableObject.cs                                       | C#       |         24 |          6 |          5 |         35 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Attributes - System\AttributeSystemComponent.cs                                        | C#       |        156 |         12 |         34 |        202 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Attributes - System\AttributeValue.cs                                                  | C#       |         26 |          0 |          3 |         29 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Attributes - System\EAttributeModifierType.cs                                          | C#       |          9 |          0 |          2 |         11 |
